RegionName,OfficeName,Suburb,NumberOfProperties
Eastern Adelaide,Adelaide,ADELAIDE,572
Eastern Adelaide,Adelaide,ATHELSTONE,6
Eastern Adelaide,Adelaide,BEULAH PARK,5
Eastern Adelaide,Adelaide,BLACK FOREST,59
Eastern Adelaide,Adelaide,BURNSIDE,1
Eastern Adelaide,Adelaide,CAMPBELLTOWN,271
Eastern Adelaide,Adelaide,CLARENCE PARK,13
Eastern Adelaide,Adelaide,COLLINSWOOD,13
Eastern Adelaide,Adelaide,DULWICH,14
Eastern Adelaide,Adelaide,EASTWOOD,32
Eastern Adelaide,Adelaide,EVERARD PARK,48
Eastern Adelaide,Adelaide,FELIXSTOW,149
Eastern Adelaide,Adelaide,FORESTVILLE,26
Eastern Adelaide,Adelaide,FREWVILLE,3
Eastern Adelaide,Adelaide,FULLARTON,107
Eastern Adelaide,Adelaide,GILBERTON,170
Eastern Adelaide,Adelaide,GLENSIDE,90
Eastern Adelaide,Adelaide,GLYNDE,20
Eastern Adelaide,Adelaide,GOODWOOD,51
Eastern Adelaide,Adelaide,HACKNEY,60
Eastern Adelaide,Adelaide,HAZELWOOD PARK,1
Eastern Adelaide,Adelaide,HECTORVILLE,171
Eastern Adelaide,Adelaide,HYDE PARK,4
Eastern Adelaide,Adelaide,KENSINGTON,98
Eastern Adelaide,Adelaide,KENSINGTON PARK,21
Eastern Adelaide,Adelaide,KENT TOWN,113
Eastern Adelaide,Adelaide,MAGILL,186
Eastern Adelaide,Adelaide,MALVERN,5
Eastern Adelaide,Adelaide,MARDEN,115
Eastern Adelaide,Adelaide,MAYLANDS,67
Eastern Adelaide,Adelaide,MYRTLE BANK,7
Eastern Adelaide,Adelaide,NAILSWORTH,71
Eastern Adelaide,Adelaide,NEWTON,88
Eastern Adelaide,Adelaide,NORTH ADELAIDE,60
Eastern Adelaide,Adelaide,NORWOOD,140
Eastern Adelaide,Adelaide,PARADISE,140
Eastern Adelaide,Adelaide,PARKSIDE,109
Eastern Adelaide,Adelaide,PAYNEHAM,59
Eastern Adelaide,Adelaide,PAYNEHAM SOUTH,30
Eastern Adelaide,Adelaide,PROSPECT,180
Eastern Adelaide,Adelaide,ROSE PARK,5
Eastern Adelaide,Adelaide,ROSTREVOR,11
Eastern Adelaide,Adelaide,ROYSTON PARK,1
Eastern Adelaide,Adelaide,ST MORRIS,10
Eastern Adelaide,Adelaide,ST PETERS,15
Eastern Adelaide,Adelaide,STEPNEY,41
Eastern Adelaide,Adelaide,TOORAK GARDENS,3
Eastern Adelaide,Adelaide,TRANMERE,44
Eastern Adelaide,Adelaide,TRINITY GARDENS,5
Eastern Adelaide,Adelaide,UNLEY,53
Eastern Adelaide,Adelaide,VALE PARK,8
Eastern Adelaide,Adelaide,WALKERVILLE,78
Eastern Adelaide,Adelaide,WAYVILLE,5
Eastern Adelaide,Modbury,BANKSIA PARK,1
Eastern Adelaide,Modbury,BLAIR ATHOL,292
Eastern Adelaide,Modbury,BROADVIEW,90
Eastern Adelaide,Modbury,CLEARVIEW,148
Eastern Adelaide,Modbury,DERNANCOURT,3
Eastern Adelaide,Modbury,DRY CREEK,1
Eastern Adelaide,Modbury,ENFIELD,270
Eastern Adelaide,Modbury,GEPPS CROSS,12
Eastern Adelaide,Modbury,GILLES PLAINS,265
Eastern Adelaide,Modbury,GREENACRES,95
Eastern Adelaide,Modbury,HAMPSTEAD GARDENS,33
Eastern Adelaide,Modbury,HIGHBURY,5
Eastern Adelaide,Modbury,HILLCREST,123
Eastern Adelaide,Modbury,HOLDEN HILL,161
Eastern Adelaide,Modbury,HOPE VALLEY,50
Eastern Adelaide,Modbury,KILBURN,633
Eastern Adelaide,Modbury,KLEMZIG,213
Eastern Adelaide,Modbury,MANNINGHAM,1
Eastern Adelaide,Modbury,MODBURY,55
Eastern Adelaide,Modbury,MODBURY HEIGHTS,100
Eastern Adelaide,Modbury,MODBURY NORTH,16
Eastern Adelaide,Modbury,NORTHFIELD,251
Eastern Adelaide,Modbury,NORTHGATE,34
Eastern Adelaide,Modbury,OAKDEN,241
Eastern Adelaide,Modbury,PARA VISTA,162
Eastern Adelaide,Modbury,REDWOOD PARK,2
Eastern Adelaide,Modbury,RIDGEHAVEN,34
Eastern Adelaide,Modbury,SEFTON PARK,4
Eastern Adelaide,Modbury,ST AGNES,28
Eastern Adelaide,Modbury,SURREY DOWNS,78
Eastern Adelaide,Modbury,TEA TREE GULLY,2
Eastern Adelaide,Modbury,VALLEY VIEW,23
Eastern Adelaide,Modbury,WINDSOR GARDENS,174
Eastern Adelaide,Modbury,WYNN VALE,249
Eyre & Western,Ceduna,CEDUNA,92
Eyre & Western,Ceduna,STREAKY BAY,24
Eyre & Western,Ceduna,THEVENARD,28
Eyre & Western,Port Lincoln,CLEVE,10
Eyre & Western,Port Lincoln,CUMMINS,3
Eyre & Western,Port Lincoln,ELLISTON,4
Eyre & Western,Port Lincoln,LOCK,4
Eyre & Western,Port Lincoln,PORT LINCOLN,679
Eyre & Western,Port Lincoln,TUMBY BAY,9
Eyre & Western,Port Lincoln,WUDINNA,13
Eyre & Western,Whyalla,COWELL,4
Eyre & Western,Whyalla,WHYALLA,153
Eyre & Western,Whyalla,WHYALLA JENKINS,54
Eyre & Western,Whyalla,WHYALLA NORRIE,669
Eyre & Western,Whyalla,WHYALLA PLAYFORD,69
Eyre & Western,Whyalla,WHYALLA STUART,1266
Far North,Coober Pedy,COOBER PEDY,56
Far North,Port Augusta,COPLEY,14
Far North,Port Augusta,HAWKER,7
Far North,Port Augusta,IRON KNOB,4
Far North,Port Augusta,MARREE,12
Far North,Port Augusta,PORT AUGUSTA,546
Far North,Port Augusta,PORT AUGUSTA WEST,388
Far North,Port Augusta,QUORN,34
Far North,Port Augusta,STIRLING NORTH,9
Limestone Coast,Mount Gambier,BEACHPORT,2
Limestone Coast,Mount Gambier,BORDERTOWN,39
Limestone Coast,Mount Gambier,KEITH,8
Limestone Coast,Mount Gambier,KINGSTON S E,16
Limestone Coast,Mount Gambier,LUCINDALE,4
Limestone Coast,Mount Gambier,MILLICENT,174
Limestone Coast,Mount Gambier,MOUNT BURR,3
Limestone Coast,Mount Gambier,MOUNT GAMBIER,1164
Limestone Coast,Mount Gambier,NANGWARRY,13
Limestone Coast,Mount Gambier,NARACOORTE,114
Limestone Coast,Mount Gambier,PENOLA,16
Limestone Coast,Mount Gambier,ROBE,7
Mid North & Barossa,Gawler,ANGASTON,63
Mid North & Barossa,Gawler,EVANSTON,164
Mid North & Barossa,Gawler,EVANSTON GARDENS,46
Mid North & Barossa,Gawler,EVANSTON PARK,14
Mid North & Barossa,Gawler,FREELING,7
Mid North & Barossa,Gawler,GAWLER,34
Mid North & Barossa,Gawler,GAWLER EAST,12
Mid North & Barossa,Gawler,GAWLER SOUTH,74
Mid North & Barossa,Gawler,GAWLER WEST,139
Mid North & Barossa,Gawler,KAPUNDA,30
Mid North & Barossa,Gawler,LYNDOCH,2
Mid North & Barossa,Gawler,NURIOOTPA,58
Mid North & Barossa,Gawler,TANUNDA,7
Mid North & Barossa,Gawler,TWO WELLS,7
Mid North & Barossa,Gawler,WASLEYS,1
Mid North & Barossa,Gawler,WILLASTON,45
Mid North & Barossa,Port Pirie,ARDROSSAN,33
Mid North & Barossa,Port Pirie,BALAKLAVA,8
Mid North & Barossa,Port Pirie,BOOLEROO CENTRE,6
Mid North & Barossa,Port Pirie,BURRA,13
Mid North & Barossa,Port Pirie,BUTE,3
Mid North & Barossa,Port Pirie,CLARE,117
Mid North & Barossa,Port Pirie,CRYSTAL BROOK,28
Mid North & Barossa,Port Pirie,EDITHBURGH,6
Mid North & Barossa,Port Pirie,EUDUNDA,5
Mid North & Barossa,Port Pirie,GLADSTONE,4
Mid North & Barossa,Port Pirie,HAMLEY BRIDGE,7
Mid North & Barossa,Port Pirie,JAMESTOWN,23
Mid North & Barossa,Port Pirie,KADINA,121
Mid North & Barossa,Port Pirie,LAURA,15
Mid North & Barossa,Port Pirie,MAITLAND,25
Mid North & Barossa,Port Pirie,MINLATON,7
Mid North & Barossa,Port Pirie,MOONTA,38
Mid North & Barossa,Port Pirie,MOONTA BAY,10
Mid North & Barossa,Port Pirie,ORROROO,3
Mid North & Barossa,Port Pirie,OWEN,2
Mid North & Barossa,Port Pirie,PETERBOROUGH,27
Mid North & Barossa,Port Pirie,PORT GERMEIN,2
Mid North & Barossa,Port Pirie,PORT PIRIE,765
Mid North & Barossa,Port Pirie,PORT PIRIE SOUTH,3
Mid North & Barossa,Port Pirie,PORT PIRIE WEST,43
Mid North & Barossa,Port Pirie,PORT VICTORIA,10
Mid North & Barossa,Port Pirie,PORT VINCENT,8
Mid North & Barossa,Port Pirie,PORT WAKEFIELD,6
Mid North & Barossa,Port Pirie,RIVERTON,4
Mid North & Barossa,Port Pirie,SADDLEWORTH,1
Mid North & Barossa,Port Pirie,SPALDING,3
Mid North & Barossa,Port Pirie,STANSBURY,4
Mid North & Barossa,Port Pirie,WALLAROO,94
Mid North & Barossa,Port Pirie,WIRRABARA,6
Mid North & Barossa,Port Pirie,YORKETOWN,15
Murray & Fleurieu,Berri,BARMERA,113
Murray & Fleurieu,Berri,BERRI,221
Murray & Fleurieu,Berri,GLOSSOP,1
Murray & Fleurieu,Berri,LOXTON,98
Murray & Fleurieu,Berri,MORGAN,10
Murray & Fleurieu,Berri,PARINGA,8
Murray & Fleurieu,Berri,RENMARK,181
Murray & Fleurieu,Berri,WAIKERIE,78
Murray & Fleurieu,Mount Barker,BALHANNAH,3
Murray & Fleurieu,Mount Barker,BRUKUNGA,7
Murray & Fleurieu,Mount Barker,CRAFERS,1
Murray & Fleurieu,Mount Barker,ECHUNGA,4
Murray & Fleurieu,Mount Barker,ENCOUNTER BAY,1
Murray & Fleurieu,Mount Barker,GOOLWA,39
Murray & Fleurieu,Mount Barker,GOOLWA BEACH,1
Murray & Fleurieu,Mount Barker,GOOLWA NORTH,8
Murray & Fleurieu,Mount Barker,HAHNDORF,1
Murray & Fleurieu,Mount Barker,HAYBOROUGH,6
Murray & Fleurieu,Mount Barker,KINGSCOTE,44
Murray & Fleurieu,Mount Barker,LITTLEHAMPTON,8
Murray & Fleurieu,Mount Barker,LOBETHAL,19
Murray & Fleurieu,Mount Barker,MANNUM,57
Murray & Fleurieu,Mount Barker,MCCRACKEN,15
Murray & Fleurieu,Mount Barker,MEADOWS,6
Murray & Fleurieu,Mount Barker,MIDDLETON,1
Murray & Fleurieu,Mount Barker,MILANG,4
Murray & Fleurieu,Mount Barker,MOUNT BARKER,343
Murray & Fleurieu,Mount Barker,MOUNT COMPASS,3
Murray & Fleurieu,Mount Barker,NAIRNE,24
Murray & Fleurieu,Mount Barker,NORMANVILLE,2
Murray & Fleurieu,Mount Barker,PORT ELLIOT,13
Murray & Fleurieu,Mount Barker,STRATHALBYN,92
Murray & Fleurieu,Mount Barker,VICTOR HARBOR,36
Murray & Fleurieu,Mount Barker,WOODSIDE,11
Murray & Fleurieu,Mount Barker,YANKALILLA,12
Murray & Fleurieu,Murray Bridge,LAMEROO,1
Murray & Fleurieu,Murray Bridge,MENINGIE,36
Murray & Fleurieu,Murray Bridge,MONARTO,1
Murray & Fleurieu,Murray Bridge,MURRAY BRIDGE,755
Murray & Fleurieu,Murray Bridge,TAILEM BEND,12
Northern Adelaide,Elizabeth,ANDREWS FARM,30
Northern Adelaide,Elizabeth,BLAKEVIEW,16
Northern Adelaide,Elizabeth,CRAIGMORE,109
Northern Adelaide,Elizabeth,DAVOREN PARK,572
Northern Adelaide,Elizabeth,ELIZABETH,109
Northern Adelaide,Elizabeth,ELIZABETH DOWNS,281
Northern Adelaide,Elizabeth,ELIZABETH EAST,477
Northern Adelaide,Elizabeth,ELIZABETH GROVE,332
Northern Adelaide,Elizabeth,ELIZABETH NORTH,272
Northern Adelaide,Elizabeth,ELIZABETH PARK,229
Northern Adelaide,Elizabeth,ELIZABETH SOUTH,434
Northern Adelaide,Elizabeth,ELIZABETH VALE,391
Northern Adelaide,Elizabeth,MUNNO PARA,281
Northern Adelaide,Elizabeth,SMITHFIELD,182
Northern Adelaide,Elizabeth,SMITHFIELD PLAINS,161
Northern Adelaide,Salisbury,BRAHMA LODGE,84
Northern Adelaide,Salisbury,BURTON,47
Northern Adelaide,Salisbury,GOLDEN GROVE,305
Northern Adelaide,Salisbury,GREENWITH,329
Northern Adelaide,Salisbury,GULFVIEW HEIGHTS,2
Northern Adelaide,Salisbury,INGLE FARM,205
Northern Adelaide,Salisbury,MAWSON LAKES,24
Northern Adelaide,Salisbury,PARA HILLS,18
Northern Adelaide,Salisbury,PARA HILLS WEST,254
Northern Adelaide,Salisbury,PARAFIELD GARDENS,662
Northern Adelaide,Salisbury,PARALOWIE,212
Northern Adelaide,Salisbury,POORAKA,271
Northern Adelaide,Salisbury,SALISBURY,224
Northern Adelaide,Salisbury,SALISBURY DOWNS,339
Northern Adelaide,Salisbury,SALISBURY EAST,184
Northern Adelaide,Salisbury,SALISBURY HEIGHTS,19
Northern Adelaide,Salisbury,SALISBURY NORTH,631
Northern Adelaide,Salisbury,SALISBURY PARK,126
Northern Adelaide,Salisbury,SALISBURY PLAIN,59
Northern Adelaide,Salisbury,WALKLEY HEIGHTS,56
Southern Adelaide,Marion,ASCOT PARK,138
Southern Adelaide,Marion,BEDFORD PARK,7
Southern Adelaide,Marion,BLACKWOOD,21
Southern Adelaide,Marion,BRIGHTON,17
Southern Adelaide,Marion,CLAPHAM,2
Southern Adelaide,Marion,CLARENCE GARDENS,9
Southern Adelaide,Marion,CLOVELLY PARK,143
Southern Adelaide,Marion,COLONEL LIGHT GARDENS,13
Southern Adelaide,Marion,CUMBERLAND PARK,23
Southern Adelaide,Marion,DARLINGTON,41
Southern Adelaide,Marion,DAW PARK,24
Southern Adelaide,Marion,DOVER GARDENS,219
Southern Adelaide,Marion,EDWARDSTOWN,453
Southern Adelaide,Marion,GLANDORE,147
Southern Adelaide,Marion,GLENELG,27
Southern Adelaide,Marion,GLENELG EAST,8
Southern Adelaide,Marion,GLENELG NORTH,51
Southern Adelaide,Marion,GLENELG SOUTH,7
Southern Adelaide,Marion,GLENGOWRIE,104
Southern Adelaide,Marion,HALLETT COVE,28
Southern Adelaide,Marion,HAWTHORN,60
Southern Adelaide,Marion,HOVE,50
Southern Adelaide,Marion,KINGSTON PARK,2
Southern Adelaide,Marion,KINGSWOOD,4
Southern Adelaide,Marion,LOWER MITCHAM,9
Southern Adelaide,Marion,MARION,56
Southern Adelaide,Marion,MELROSE PARK,7
Southern Adelaide,Marion,MITCHAM,1
Southern Adelaide,Marion,MITCHELL PARK,691
Southern Adelaide,Marion,MORPHETTVILLE,345
Southern Adelaide,Marion,NORTH BRIGHTON,16
Southern Adelaide,Marion,OAKLANDS PARK,419
Southern Adelaide,Marion,PANORAMA,5
Southern Adelaide,Marion,PARK HOLME,222
Southern Adelaide,Marion,PASADENA,22
Southern Adelaide,Marion,PLYMPTON PARK,187
Southern Adelaide,Marion,SEACLIFF,12
Southern Adelaide,Marion,SEACLIFF PARK,8
Southern Adelaide,Marion,SEACOMBE GARDENS,235
Southern Adelaide,Marion,SEACOMBE HEIGHTS,2
Southern Adelaide,Marion,SEAVIEW DOWNS,7
Southern Adelaide,Marion,SHEIDOW PARK,4
Southern Adelaide,Marion,SOMERTON PARK,48
Southern Adelaide,Marion,SOUTH BRIGHTON,48
Southern Adelaide,Marion,SOUTH PLYMPTON,138
Southern Adelaide,Marion,ST MARYS,49
Southern Adelaide,Marion,STURT,187
Southern Adelaide,Marion,TROTT PARK,6
Southern Adelaide,Marion,WARRADALE,30
Southern Adelaide,Marion,WESTBOURNE PARK,1
Southern Adelaide,Noarlunga,ABERFOYLE PARK,114
Southern Adelaide,Noarlunga,ALDINGA BEACH,20
Southern Adelaide,Noarlunga,CHRISTIE DOWNS,654
Southern Adelaide,Noarlunga,CHRISTIES BEACH,91
Southern Adelaide,Noarlunga,FLAGSTAFF HILL,4
Southern Adelaide,Noarlunga,HACKHAM,46
Southern Adelaide,Noarlunga,HACKHAM WEST,468
Southern Adelaide,Noarlunga,HAPPY VALLEY,17
Southern Adelaide,Noarlunga,HUNTFIELD HEIGHTS,218
Southern Adelaide,Noarlunga,KANGARILLA,1
Southern Adelaide,Noarlunga,MCLAREN VALE,12
Southern Adelaide,Noarlunga,MOANA,2
Southern Adelaide,Noarlunga,MORPHETT VALE,952
Southern Adelaide,Noarlunga,NOARLUNGA CENTRE,11
Southern Adelaide,Noarlunga,NOARLUNGA DOWNS,371
Southern Adelaide,Noarlunga,O'HALLORAN HILL,17
Southern Adelaide,Noarlunga,O'SULLIVAN BEACH,66
Southern Adelaide,Noarlunga,OLD NOARLUNGA,3
Southern Adelaide,Noarlunga,OLD REYNELLA,3
Southern Adelaide,Noarlunga,PORT NOARLUNGA,48
Southern Adelaide,Noarlunga,REYNELLA,56
Southern Adelaide,Noarlunga,SEAFORD,50
Southern Adelaide,Noarlunga,SEAFORD MEADOWS,26
Southern Adelaide,Noarlunga,SEAFORD RISE,195
Southern Adelaide,Noarlunga,WILLUNGA,4
Southern Adelaide,Noarlunga,WOODCROFT,66
Western Adelaide,Port Adelaide,ALBERT PARK,99
Western Adelaide,Port Adelaide,ALBERTON,48
Western Adelaide,Port Adelaide,BEVERLEY,32
Western Adelaide,Port Adelaide,BIRKENHEAD,54
Western Adelaide,Port Adelaide,CHELTENHAM,60
Western Adelaide,Port Adelaide,ETHELTON,70
Western Adelaide,Port Adelaide,EXETER,56
Western Adelaide,Port Adelaide,FINDON,359
Western Adelaide,Port Adelaide,GLANVILLE,28
Western Adelaide,Port Adelaide,GRANGE,171
Western Adelaide,Port Adelaide,HENDON,75
Western Adelaide,Port Adelaide,LARGS BAY,76
Western Adelaide,Port Adelaide,LARGS NORTH,76
Western Adelaide,Port Adelaide,MILE END SOUTH,2
Western Adelaide,Port Adelaide,NORTH HAVEN,61
Western Adelaide,Port Adelaide,OSBORNE,147
Western Adelaide,Port Adelaide,OTTOWAY,117
Western Adelaide,Port Adelaide,PENNINGTON,345
Western Adelaide,Port Adelaide,PETERHEAD,65
Western Adelaide,Port Adelaide,PORT ADELAIDE,217
Western Adelaide,Port Adelaide,QUEENSTOWN,118
Western Adelaide,Port Adelaide,ROSEWATER,140
Western Adelaide,Port Adelaide,ROYAL PARK,130
Western Adelaide,Port Adelaide,SEATON,674
Western Adelaide,Port Adelaide,SEMAPHORE,43
Western Adelaide,Port Adelaide,SEMAPHORE PARK,493
Western Adelaide,Port Adelaide,SEMAPHORE SOUTH,3
Western Adelaide,Port Adelaide,ST CLAIR,2
Western Adelaide,Port Adelaide,TAPEROO,417
Western Adelaide,Port Adelaide,WEST LAKES,55
Western Adelaide,Port Adelaide,WEST LAKES SHORE,14
Western Adelaide,Port Adelaide,WINGFIELD,7
Western Adelaide,Port Adelaide,WOODVILLE,35
Western Adelaide,Port Adelaide,WOODVILLE PARK,29
Western Adelaide,Port Adelaide,WOODVILLE SOUTH,26
Western Adelaide,Port Adelaide,WOODVILLE WEST,129
Western Adelaide,The Parks,ALLENBY GARDENS,30
Western Adelaide,The Parks,ANGLE PARK,191
Western Adelaide,The Parks,ASHFORD,17
Western Adelaide,The Parks,ATHOL PARK,63
Western Adelaide,The Parks,BOWDEN,104
Western Adelaide,The Parks,BROMPTON,193
Western Adelaide,The Parks,BROOKLYN PARK,188
Western Adelaide,The Parks,CAMDEN PARK,104
Western Adelaide,The Parks,COWANDILLA,63
Western Adelaide,The Parks,CROYDON,28
Western Adelaide,The Parks,CROYDON PARK,163
Western Adelaide,The Parks,DEVON PARK,128
Western Adelaide,The Parks,DUDLEY PARK,111
Western Adelaide,The Parks,FERRYDEN PARK,449
Western Adelaide,The Parks,FLINDERS PARK,62
Western Adelaide,The Parks,FULHAM,52
Western Adelaide,The Parks,FULHAM GARDENS,36
Western Adelaide,The Parks,HENLEY BEACH,150
Western Adelaide,The Parks,HENLEY BEACH SOUTH,161
Western Adelaide,The Parks,HILTON,29
Western Adelaide,The Parks,HINDMARSH,6
Western Adelaide,The Parks,KESWICK,9
Western Adelaide,The Parks,KIDMAN PARK,132
Western Adelaide,The Parks,KILKENNY,31
Western Adelaide,The Parks,KURRALTA PARK,19
Western Adelaide,The Parks,LOCKLEYS,25
Western Adelaide,The Parks,MANSFIELD PARK,201
Western Adelaide,The Parks,MARLESTON,41
Western Adelaide,The Parks,MILE END,225
Western Adelaide,The Parks,NETLEY,1
Western Adelaide,The Parks,NORTH PLYMPTON,73
Western Adelaide,The Parks,NOVAR GARDENS,248
Western Adelaide,The Parks,OVINGHAM,68
Western Adelaide,The Parks,PLYMPTON,47
Western Adelaide,The Parks,RENOWN PARK,230
Western Adelaide,The Parks,RICHMOND,20
Western Adelaide,The Parks,RIDLEYTON,107
Western Adelaide,The Parks,THEBARTON,68
Western Adelaide,The Parks,TORRENSVILLE,82
Western Adelaide,The Parks,UNDERDALE,40
Western Adelaide,The Parks,WELLAND,42
Western Adelaide,The Parks,WEST BEACH,19
Western Adelaide,The Parks,WEST CROYDON,65
Western Adelaide,The Parks,WEST HINDMARSH,41
Western Adelaide,The Parks,WEST RICHMOND,50
Western Adelaide,The Parks,WOODVILLE GARDENS,330
Western Adelaide,The Parks,WOODVILLE NORTH,102
